,ID,subject,subject_clean,Len
537,231,'tin',tin,1
538,231, 'say',say,1
539,231, 'exactly',exactly,1
540,231,'good support',good support,2
541,232,'size',size,1
542,232, 'price',price,1
543,232, 'great',great,1
544,233,"'`` best thing ive ever purchase """"'",best thing ive ever purchase,5
545,234,'good product',good product,2
546,235,'super easy portable projector',super easy portable projector,4
547,236,'obsess',obsess,1
548,237,'great theater',great theater,2
549,237, 'pocket',pocket,1
550,238,'solid product hbogo work',solid product hbogo work,4
551,238, 'great support',great support,2
552,238, 'addition',addition,1
553,239,'bestest portable projector',bestest portable projector,3
554,240,'tiny package',tiny package,2
555,240, 'great thing',great thing,2
556,240, 'come',come,1
557,241,'great moment',great moment,2
558,242,'super dark room',super dark room,3
559,242, 'work well',work well,2
560,243,'not say enough',not say enough,3
561,243,'love',love,1
562,244,'lot',lot,1
563,244, 'buck',buck,1
564,244, 'bang',bang,1
565,245,'work fantastic',work fantastic,2
567,246,'great picture quality',great picture quality,3
568,247,'built like',built like,2
569,247, 'tank',tank,1
570,248,'affordable',affordable,1
571,248,'portable',portable,1
572,248,'easy setup projector',easy setup projector,3
573,249,'small container',small container,2
574,249, 'big projector',big projector,2
575,250,'great projector',great projector,2
576,251,'well',well,1
577,251, 'expect',expect,1
578,252,'super awesome mini smart projector buy',super awesome mini smart projector buy,6
579,253,'wow',wow,1
580,253,'cool',cool,1
582,254,'great product',great product,2
583,255,'fantasticoverall',fantasticoverall,1
584,256,'good projector',good projector,2
585,257,'unbelievably small',unbelievably small,2
586,257,'good picture',good picture,2
587,257, 'loud',loud,1
588,258,'great picture quality',great picture quality,3
589,258, 'use',use,1
590,258, 'ease',ease,1
591,259,'super portable projector',super portable projector,3
592,259, 'great customer service',great customer service,3
593,260,'solid picture',solid picture,2
594,260, 'audio quality',audio quality,2
595,261,'love',love,1
596,262,'love',love,1
597,263,'great portable projector 👍💯👍',great portable projector 👍💯👍,4
598,264,'anker',anker,1
599,265,'pretty awesome',pretty awesome,2
600,266,'easy set',easy set,2
601,266, 'easy',easy,1
602,266, 'use',use,1
603,267,'great little projector',great little projector,3
604,268,'worth every penny',worth every penny,3
605,269,'great little portable projector',great little portable projector,4
606,270,'dark hotel room nicely',dark hotel room nicely,4
607,270, 'project',project,1
608,270,'kid use',kid use,2
609,270, 'room',room,1
610,270, 'friend',friend,1
611,271,'worth',worth,1
612,272,'not',not,1
613,272, 'disappointed',disappointed,1
614,273,'outdoor movie night',outdoor movie night,3
615,274,'great quality small size projector',great quality small size projector,5
616,275,'awesome little device',awesome little device,3
617,276,'good product',good product,2
618,277,'watch tv',watch tv,2
619,277, 'kid love',kid love,2
620,277, 'room',room,1
621,277, 'able',able,1
622,278,'another great anker product',another great anker product,4
623,279,'home movie theater',home movie theater,3
624,279, 'kid love',kid love,2
625,279, 'novelty',novelty,1
626,280,'excellent product',excellent product,2
627,281,'yes',yes,1
628,282,'great value',great value,2
629,283,'great product',great product,2
630,284,'great mini projector',great mini projector,3
631,285,'not adjust brightness',not adjust brightness,3
632,286,'big thing come',big thing come,3
633,286, 'small package',small package,2
634,287,'dope',dope,1
635,288,'work',work,1
636,288, 'expect',expect,1
637,289,'nice',nice,1
638,290,'month',month,1
639,290, 'broke',broke,1
640,290,'ran great prior',ran great prior,3
641,291,'not good enough',not good enough,3
642,291, 'movie night',movie night,2
643,291, 'good',good,1
644,291, 'presentation',presentation,1
645,292,'amaze',amaze,1
646,293,'little wonder',little wonder,2
647,294,'superior quality',superior quality,2
648,294, 'price',price,1
649,295,'enough battery capacity',enough battery capacity,3
